2022-07-05 23:07:640 INFO  HomePage :73 - I clicked on search Button:[[ChromeDriver: chrome on WINDOWS (ce3f4dfee88edcfdb6e0d94726bb3e19)] -> id: nav-search-submit-button]
2022-07-05 23:07:908 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-05 23:07:555 INFO  HomePage :53 - I clicked on Accept cookies: [[ChromeDriver: chrome on WINDOWS (ffdfa8290ab93a614d377089f6231e4c)] -> xpath: //input[@id='sp-cc-accept']]
2022-07-05 23:07:831 INFO  HomePage :58 - I click on search in dropdown : [[ChromeDriver: chrome on WINDOWS (ffdfa8290ab93a614d377089f6231e4c)] -> xpath: //select[@id='searchDropdownBox']]
2022-07-05 23:07:146 INFO  HomePage :63 - I select books from the dropdown : [[ChromeDriver: chrome on WINDOWS (ffdfa8290ab93a614d377089f6231e4c)] -> xpath: //*[@id="searchDropdownBox"]/option[12]]
2022-07-05 23:07:388 INFO  HomePage :68 - Enter Bitcoin in the search : Bitcoin
2022-07-05 23:07:525 INFO  HomePage :73 - I clicked on search Button:[[ChromeDriver: chrome on WINDOWS (ffdfa8290ab93a614d377089f6231e4c)] -> id: nav-search-submit-button]
2022-07-06 00:07:104 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-06 00:07:26 INFO  HomePage :59 - I clicked on Accept cookies: [[ChromeDriver: chrome on WINDOWS (af0b269dffd9d66a235a2be38c74f3df)] -> xpath: //input[@id='sp-cc-accept']]
2022-07-06 00:07:302 INFO  HomePage :64 - I click on search in dropdown : [[ChromeDriver: chrome on WINDOWS (af0b269dffd9d66a235a2be38c74f3df)] -> xpath: //select[@id='searchDropdownBox']]
2022-07-06 00:07:471 INFO  HomePage :69 - I select books from the dropdown : [[ChromeDriver: chrome on WINDOWS (af0b269dffd9d66a235a2be38c74f3df)] -> xpath: //*[@id="searchDropdownBox"]/option[12]]
2022-07-06 00:07:714 INFO  HomePage :74 - Enter Bitcoin in the search : Bitcoin
